Latitude,Longitude,Population_Density,Distance_to_Town,Terrain_Type,Average_Elevation,Median_Income,Percentage_of_Uncovered_Population,Distance_to_Existing_Tower,Available_Power_Supply,Average_Rainfall,Average_Temperature,Topography,Vegetation_Coverage,Road_Accessibility,Proximity_to_Fiber,Natural_Disaster_Risk,Local_Regulations,Spectrum_Availability,Projected_Growth_Rate
34.40152494,-118.0053806,486,2.093589646,Hilly,1706.76146,26784,33.56447458,24.84046603,1,82.89987336,24.98836061,Plateau,63.71513687,0,9.785922855,Medium,0,0,4.047793204
31.22038235,-101.5608874,96,48.08039592,Mountainous,3914.91649,94092,23.68015714,20.94600028,1,61.59881073,17.50314398,Valley,32.77823547,0,49.02502017,Medium,0,0,0.764172298
34.9517691,-117.1845908,219,34.26905358,Mountainous,1368.613515,28336,28.50382177,49.86008474,1,83.11088481,26.66187429,Plateau,0.105894878,1,12.41292666,Low,0,0,2.114786843
30.34388521,-115.5020639,471,67.81209098,Hilly,4713.001367,21066,86.18871813,21.93565152,1,32.50223766,3.978766519,Plateau,43.65927557,1,36.84059543,High,1,1,4.634161856
39.09320402,-108.8373168,90,64.19700483,Flat,3417.30496,29768,52.78075896,34.44833786,1,91.73011625,-4.58519537,Plateau,49.47740634,0,26.90403526,Low,1,0,4.713355527
32.58779982,-104.71814,331,38.70275214,Hilly,2846.379936,27182,13.07903513,14.93704222,0,92.42408714,11.49809482,Basin,70.9337737,0,90.80285564,High,0,1,2.816403568
36.62522284,-107.6129739,424,1.720025166,Mountainous,3899.35079,32416,70.92216491,31.11681884,1,47.48232915,11.33460747,Valley,1.815671011,1,47.1340157,Low,1,0,3.571108286
33.11711076,-115.3573217,860,25.97508931,Flat,4066.155853,73305,15.43689332,11.12502134,1,40.03148752,27.952569,Basin,63.19759604,0,77.7800216,Low,0,1,0.244831251
35.20068021,-119.9811391,199,63.70143717,Hilly,4461.849491,65109,6.024440294,30.57672613,1,57.519409,-3.893220674,Basin,7.621760471,0,44.77446128,Low,0,1,0.701537935
35.46710279,-104.8569884,959,8.164960959,Mountainous,4505.597664,78591,25.56848765,43.54132169,0,20.01844004,37.30377503,Plateau,52.53706526,1,31.1569889,High,1,1,0.710264525
31.84854456,-100.2958535,869,11.65659976,Flat,263.4541278,64746,16.80901795,1.942651781,1,49.62095976,-7.200186723,Basin,20.11033408,1,43.92387521,High,0,0,4.122726607
39.69584628,-103.8017376,242,65.05646743,Flat,614.5380401,93860,60.49974744,25.72473407,0,89.68207949,5.64681725,Plateau,87.94436652,0,89.4154906,Low,1,0,4.03456739
37.75132823,-110.7958676,401,75.82097269,Flat,4130.304391,31837,48.45664073,49.13616059,0,36.51759989,25.15022624,Valley,42.69967174,0,10.85782479,High,0,0,2.157683184
39.39498942,-101.9246548,947,32.83342109,Mountainous,4730.258267,21266,72.40645505,8.8038636,1,73.60487962,25.87312913,Basin,12.45560708,1,38.58345089,Medium,1,1,2.780116094
38.9482735,-111.8030465,178,49.47763349,Hilly,1538.359241,85745,51.15710503,9.987204074,1,62.31227355,18.35285537,Basin,2.754751752,1,25.29936171,Low,1,0,1.889821897
35.97899979,-109.5013183,452,94.62542513,Mountainous,43.00909216,92062,41.90059352,24.07036233,0,26.13901263,-6.452679074,Valley,85.20174165,1,49.23073346,Low,1,1,2.578500028
39.21874235,-110.4574047,772,94.60881266,Mountainous,1613.525945,31473,52.62186904,43.67866584,1,53.17653812,32.81802326,Plateau,93.76038313,1,59.51048406,Medium,1,1,0.142960314
30.88492502,-111.0475225,177,31.44277467,Flat,1914.32068,42742,43.44861131,28.57522086,1,85.25911616,21.73643614,Plateau,72.62842778,1,71.45792433,High,0,0,2.870669141
31.95982862,-104.4961846,240,81.18879963,Hilly,3805.166824,80659,3.708689391,25.92672358,1,55.49188856,27.94125456,Basin,66.40845423,1,14.19268131,Low,1,0,2.794605203
30.45227289,-109.4646219,159,59.80046123,Flat,237.9233282,94541,68.0699113,5.251095896,1,69.68444088,9.311508761,Valley,24.85879604,0,59.5063745,High,0,1,1.869298626
33.25330331,-113.6656576,673,97.57296484,Mountainous,1063.20118,76409,96.21303262,48.13731471,1,77.53892122,2.16860578,Valley,72.53909629,1,77.69965606,Medium,1,1,4.021260097
33.8867729,-114.8368366,559,48.2837434,Flat,4469.842931,56217,42.2033557,18.00868064,1,4.939962994,26.00471834,Basin,15.35025925,0,68.58985503,High,1,0,3.062740719
32.71349032,-119.2450537,395,77.69597993,Mountainous,774.1020473,22131,42.37329838,13.33855046,0,5.125440235,30.77582298,Plateau,81.53316415,1,48.54781032,High,0,1,2.329646076
38.28737509,-108.3360968,390,77.04557583,Mountainous,3796.23826,78792,4.576887864,21.17545329,1,11.49599824,30.62602141,Basin,43.71107411,1,59.89895408,High,0,0,1.812485945
33.56753327,-115.4007717,818,50.2458539,Mountainous,1806.552078,91663,89.03790847,21.29492592,0,16.30003352,25.85881985,Basin,87.4692991,0,90.08916282,Low,1,1,1.392340451
32.8093451,-117.0373216,284,79.76738132,Flat,3313.301075,70847,92.91213875,23.46812233,1,81.14426469,-3.05255622,Valley,34.30528614,1,50.49439853,Low,1,0,4.000352314
35.42696083,-106.9234007,626,26.842993,Hilly,369.2325165,95686,81.3139118,34.73837189,0,43.55860436,1.089477444,Basin,1.135157848,1,82.26739029,Medium,0,0,2.924371397
31.40924225,-106.3758148,907,13.10305059,Flat,1432.789725,46712,10.63454715,43.52938186,1,18.52627477,15.02189661,Plateau,81.20349826,1,95.81693348,High,0,0,0.857984525
38.02196981,-104.9569022,869,43.09121072,Mountainous,2123.948687,53996,90.02236812,3.808331126,1,53.18022059,15.36750474,Basin,88.14960261,1,6.875653613,Low,0,0,1.040658289
30.74550644,-109.9284621,873,94.41943501,Flat,4286.06313,30754,2.39556634,25.04765967,1,76.33402315,14.42681887,Plateau,1.8877199,0,86.3390996,Low,0,1,3.070458687
39.86886937,-102.1189079,71,50.57371621,Mountainous,2817.479288,24211,44.45743232,21.28492812,0,14.00636788,31.30193049,Plateau,25.65504242,0,11.8662693,High,0,0,0.590572118
37.72244769,-101.2731449,476,63.89065473,Hilly,226.1264654,24394,50.06236541,1.533125528,0,34.44025593,-3.730941662,Valley,31.74955069,0,7.58394576,Medium,1,1,3.289257863
31.98715682,-103.8525812,537,62.79208313,Hilly,4009.332867,40267,83.4002101,41.00798309,0,19.43698484,29.61321904,Basin,59.81616461,0,43.28673058,Low,0,0,4.998811044
30.05522117,-107.2881304,871,14.12471386,Mountainous,272.6074448,75347,75.08592135,6.111346855,1,64.63749104,-8.883352428,Plateau,23.61162536,0,49.65493033,Medium,1,1,4.963346896
38.15461428,-113.9255809,159,39.63939136,Hilly,4671.83282,53775,79.70968965,6.622652466,0,13.68349322,6.153694568,Valley,92.60436294,1,9.477990649,Low,1,0,4.764272177
37.06857344,-100.3411016,151,70.98695832,Mountainous,1058.58723,61171,86.79009496,3.366622485,1,78.10956669,-0.174999513,Basin,96.33111633,0,96.05078084,Medium,1,1,0.869683075
37.29007168,-114.5172767,125,97.22701976,Flat,2439.630723,25228,47.60709205,10.82066006,0,20.78230044,16.33224962,Valley,58.53694685,1,6.4298243,Low,1,1,2.021581499
37.71270347,-115.9468616,833,17.63375609,Flat,361.4048438,93633,78.02523535,9.663997796,0,5.860199589,16.19468217,Plateau,98.5712121,1,70.1322,Low,0,1,3.206449547
30.74044652,-111.1569177,74,41.63374714,Hilly,2808.561931,24070,6.803309441,18.04542597,0,91.08686199,15.327207,Valley,17.06669307,0,35.50032636,Medium,1,0,3.22143624
33.58465729,-118.8631886,438,10.41428618,Hilly,2486.143504,23893,44.45464228,33.30424932,1,33.3212317,4.440896082,Basin,11.53381534,0,13.78943036,Medium,0,0,1.481192707
31.1586906,-100.4301107,319,24.99526951,Mountainous,2051.242674,94991,3.013267487,3.660417154,0,50.27454055,16.09011698,Valley,40.57535683,0,81.15133691,Medium,1,1,0.021007758
38.63103426,-108.2313289,715,38.29917499,Hilly,177.8645852,29204,91.53150653,43.15351225,0,10.09921668,25.28892758,Valley,79.56863424,1,80.43856478,Low,1,0,1.600903441
36.23298127,-108.8609582,863,54.52368155,Hilly,4394.681893,50491,95.8413782,17.00235215,1,47.94616631,9.688561513,Basin,58.92267757,0,90.77841731,Medium,1,0,3.649282208
33.30898025,-106.8840744,439,23.82612134,Hilly,4013.182994,70355,8.393906029,30.72375922,0,22.25628017,36.43208377,Valley,62.99307908,0,83.9807495,Low,1,0,2.132115838
30.6355835,-110.059527,170,23.52870346,Mountainous,3165.150102,41408,53.26266444,1.588250498,1,84.03785003,-6.576539103,Basin,95.87723275,0,53.29979991,High,0,1,3.937710349
33.10982322,-119.3587297,984,78.00516793,Flat,2861.149913,25892,32.51396063,18.92458784,0,71.37544436,39.35504794,Basin,59.80109957,1,11.43629128,High,0,0,4.978957335
33.25183322,-107.7537742,315,96.30152463,Mountainous,3474.732157,53188,34.25342847,1.100494683,0,66.33059885,28.06932578,Plateau,43.36177002,0,80.81893516,Medium,1,0,2.570503682
37.29606178,-105.6765225,370,33.03768381,Mountainous,719.9500796,22257,45.07000614,9.107455405,1,78.12613609,19.65891835,Plateau,78.48218928,0,4.550735152,Low,1,1,2.74129321
36.37557471,-111.6650188,287,69.11120984,Hilly,4663.221232,52051,12.50659653,22.94467109,0,29.37181883,0.167201818,Plateau,76.49043885,0,70.33426797,High,0,0,4.625770865
38.87212743,-104.8540886,305,26.54996567,Flat,1423.366458,26079,18.07701988,27.21928368,0,45.3648793,21.36540375,Valley,94.69823393,1,5.93485437,High,0,0,4.370748482
34.72214925,-115.459974,560,92.86727324,Mountainous,3282.451362,73252,57.73686601,8.493501386,0,8.657064356,30.10415796,Plateau,61.42265804,1,24.73192907,High,0,1,0.481054729
31.19594246,-115.5744682,882,67.61733366,Hilly,3033.778406,73743,1.875590944,37.5155976,1,6.778444165,2.682281378,Valley,1.481277039,1,47.72257178,Medium,0,0,1.060151115
37.13244787,-116.7716602,178,80.46500861,Mountainous,3183.069899,72330,59.9801022,10.26117961,1,32.90915297,-8.005211059,Basin,33.38083142,0,59.24648251,Medium,0,0,0.43802929
37.60785049,-112.5601048,468,5.886050277,Hilly,4394.760615,45306,31.89171878,6.676409516,1,82.27452185,12.1376519,Plateau,42.14603769,1,90.58882694,Low,0,1,0.358530045
35.61277198,-103.0597593,589,60.25209086,Flat,1479.556033,27554,83.22064148,17.33780113,0,59.76650486,5.221748872,Basin,72.57665603,1,98.80065812,High,0,0,3.055184708
37.7096718,-103.4417588,16,53.2336208,Flat,3744.740941,28370,60.00065077,28.02000452,1,42.45102031,4.307420443,Plateau,59.47365952,1,74.86706204,Medium,0,0,0.297917629
34.93795596,-112.3435158,606,30.00669378,Hilly,2991.95532,25609,70.80912007,49.456189,1,96.69902382,26.2403307,Plateau,63.53988109,0,99.99180914,Medium,0,0,2.67912053
35.22732829,-108.2176253,720,26.98056852,Mountainous,380.3016548,83291,11.44251812,21.51707075,1,44.2169492,-2.5983756,Plateau,26.49708271,0,22.05621976,Low,0,0,3.723384588
34.27541018,-105.5836737,141,58.42245543,Mountainous,2070.773404,34008,26.58623647,21.87382444,1,46.88792733,22.54662271,Valley,82.9286202,0,46.26142845,Low,0,1,2.303323762
30.25419127,-115.1758645,597,70.94207787,Flat,4189.757866,45104,99.6669609,3.907340036,0,99.25296774,-6.936491873,Valley,32.00317532,1,79.88175634,Medium,0,0,4.123121432
31.07891427,-116.6371783,771,4.284102946,Mountainous,1576.736945,21410,43.36522469,38.52516398,0,13.13627139,35.99438579,Valley,71.58203166,1,1.697464438,Low,0,0,4.4145549
30.31429186,-100.5580801,356,57.17275661,Hilly,2411.319417,63559,35.88652053,9.907367091,1,25.56139191,19.30437338,Basin,26.223777,0,51.53353034,High,1,0,0.129564114
30.31429186,-107.6488537,964,17.87549337,Hilly,2443.192841,61295,87.3855359,37.49537466,0,45.33068809,36.54907745,Plateau,63.2642762,1,86.98009602,High,1,0,0.567047857
33.14355981,-100.3716856,730,14.89591041,Hilly,3090.049334,79979,3.307460886,45.62022701,0,57.1292116,33.39380113,Basin,50.83165003,0,62.55560989,Low,0,1,4.555155128
35.08570691,-113.2448803,605,62.68882932,Flat,4420.089299,68387,53.47733617,38.64281734,1,14.80824653,33.49164341,Basin,12.89765284,1,73.50417416,Medium,0,1,3.278694064
39.07566474,-105.939366,744,31.7761416,Flat,867.6959939,69362,21.02572138,32.4802176,0,32.88225759,-4.01249414,Basin,30.42292088,1,85.66615766,High,0,0,3.801599044
32.49292229,-115.5479273,262,44.64714308,Flat,2523.084413,29859,36.81527915,30.59189848,1,22.02638085,24.79414321,Basin,54.13423573,0,88.60901103,Low,0,1,2.694109024
34.10382923,-114.7759966,419,36.63988213,Hilly,2121.336296,70606,19.97770719,23.22801173,1,84.9896045,10.01971874,Valley,43.90671396,0,38.9574146,High,0,1,2.532363619
37.55551139,-109.7619576,552,65.1852957,Flat,1479.600451,90566,3.782275955,8.082592061,0,83.46199296,12.9554247,Valley,40.38190111,0,25.95805535,Medium,1,0,1.79550502
32.28798165,-113.6076375,364,47.54185684,Hilly,4598.040885,35955,41.6512134,39.16309185,1,23.98372154,3.954951898,Valley,72.37023148,1,39.37918218,High,1,1,4.300802843
32.28798165,-113.6076375,364,47.54185684,Hilly,4598.040885,35955,41.6512134,39.16309185,1,23.98372154,3.954951898,Valley,72.37023148,1,39.37918218,High,1,1,4.300802843
32.89751453,-114.742386,974,35.88589315,Flat,610.5239632,85976,95.19544326,31.65664533,1,65.16424548,5.315880093,Plateau,99.3044103,0,50.37812901,High,1,0,0.861008852
31.61221287,-119.2850321,573,74.28814969,Mountainous,3666.72225,42504,62.38529746,19.32674622,1,4.816317599,17.47630357,Valley,12.24135396,1,40.22362385,Medium,0,0,0.924869453
39.29697652,-105.9115276,377,26.47196419,Mountainous,1317.208023,77894,38.88370924,10.83541326,1,88.36081197,10.50153412,Valley,24.83037896,1,11.65671609,High,1,0,1.182697065
38.0812038,-110.1576669,593,51.36655617,Flat,3615.896305,77795,76.98552735,40.51891473,1,51.10237,25.19457224,Plateau,28.84231447,1,86.42657313,High,1,0,4.993372028
36.33403757,-118.1151387,520,55.70440544,Flat,4161.268054,28846,50.52239834,17.77759047,1,22.65389029,31.95154229,Valley,30.91176449,1,23.04738454,Medium,1,1,2.725973682
38.7146059,-116.5661201,542,33.58181883,Mountainous,1273.080084,32534,36.76202799,43.46732142,0,39.67550177,0.535720296,Basin,33.12277172,1,87.80179089,Low,0,0,2.549069846
38.03672077,-117.9493092,537,47.70627236,Mountainous,959.7214393,92040,17.90896926,48.32052022,1,90.1670421,-7.185693534,Valley,56.64733164,1,19.19777399,Medium,0,0,4.035363868
31.86570059,-107.7481438,956,28.64858515,Mountainous,726.5031634,20667,79.61299843,41.66943783,0,2.478318907,39.54210074,Basin,4.750546395,1,75.33894768,Medium,1,0,1.798970684
38.92558998,-118.1157927,537,1.594077386,Hilly,1000.443054,58927,50.04257905,7.278764219,1,14.27905595,34.13228628,Valley,46.56861247,1,18.06025518,Medium,0,0,2.19263766
35.39342242,-104.9143533,411,22.34918186,Mountainous,1335.926946,67451,96.38037413,42.89553544,0,19.27388405,3.256013312,Basin,70.83850306,0,55.1594789,Medium,1,0,2.374774521
38.07440155,-119.5897816,184,70.30635308,Hilly,4343.749083,23622,80.19096003,26.44853345,1,6.011224411,-1.869164684,Valley,72.51400219,0,94.68211507,High,1,1,3.127999654
38.960913,-115.0124842,833,77.32533942,Flat,3850.022066,67149,42.00161191,12.82916844,0,22.5255776,37.55184279,Plateau,55.27831037,0,66.17948437,High,0,1,0.603482139
33.18003475,-102.1866665,933,28.74008385,Mountainous,9.221584591,44435,74.08500409,5.564645648,1,81.71559648,1.621927051,Basin,92.10145109,0,5.352172096,Low,1,0,1.124755528
31.10051925,-105.6293736,859,41.39625688,Flat,4370.59571,82260,45.33914929,14.64698212,1,52.70767315,1.094483535,Valley,19.13237787,1,67.04582018,High,0,1,3.465509365
32.27935163,-118.5406333,87,4.699200354,Mountainous,394.0614985,54161,7.986572841,7.733927027,0,60.54328352,-4.507992301,Basin,98.59383996,0,11.70302498,Medium,1,1,0.282395791
34.27107789,-103.5774779,449,24.46922721,Flat,3276.328088,27569,51.66810516,2.256584528,0,15.58850531,4.395037179,Basin,16.80919174,0,7.398836607,Medium,0,0,2.587795009
38.18014766,-110.1392976,761,78.14270905,Mountainous,757.3738411,92173,86.57286195,49.40045311,1,27.8315217,32.05035099,Valley,34.36172752,1,50.03746722,Medium,1,1,3.907997121
38.60730583,-103.0643395,558,60.99264076,Hilly,311.3790526,37939,85.54413185,41.74557017,0,91.7488236,18.49144009,Valley,5.164108836,1,87.3849972,Low,0,1,0.388326457
30.06952131,-107.9852045,241,21.37128167,Flat,3798.853488,91812,57.49669136,37.20851389,1,21.04400279,-5.400755645,Plateau,96.20892945,0,87.76237527,Low,1,1,4.721788503
35.10747303,-106.3633394,409,26.48675752,Flat,2336.015569,44063,38.00235364,10.45767479,0,90.67436172,38.37072146,Valley,58.09819363,0,67.33746783,Medium,1,1,1.295981499
34.17411003,-100.1299688,222,81.86340028,Mountainous,2995.312567,88925,1.010060231,2.359085509,1,66.32137014,16.97495479,Valley,67.51966631,1,32.34392647,Low,1,0,1.762229368
32.2210781,-115.3532891,202,21.69933609,Hilly,2126.765094,98091,31.14097789,24.77499025,0,50.27726887,10.83494398,Valley,96.0280792,0,83.49664508,Medium,1,0,1.786276828
31.19865367,-107.5210885,581,34.08161486,Hilly,335.8593125,92272,98.98085773,37.34302707,0,17.39493192,29.21230855,Basin,75.62934922,1,79.17217135,Medium,1,1,1.399286649
33.37615171,-110.7935722,710,66.77151047,Hilly,3698.090831,31218,72.64910333,48.1790308,1,67.36003953,18.01747697,Valley,97.9245595,0,99.57360508,High,0,0,3.083204691
39.42909704,-119.2109609,276,56.55012619,Mountainous,4101.755606,48673,71.75885638,42.35030074,1,88.63973111,34.78842485,Plateau,53.37597798,1,49.69406795,Low,1,0,3.64908967
33.23202932,-119.7105872,135,46.62615032,Flat,207.1027154,20971,76.10833903,44.78161544,0,15.97808522,25.11758345,Plateau,72.04815478,0,86.15264459,High,0,0,3.301797485
35.18790622,-117.6154284,724,90.07436801,Mountainous,1878.585985,51356,62.01133833,12.69447464,1,0.617925038,23.4116881,Valley,15.68308938,1,62.84983908,Low,0,0,2.922566166
37.03018959,-107.0181652,843,22.75133581,Hilly,2786.582685,92944,58.58586572,8.610974864,1,74.00611326,6.887313749,Basin,4.221578929,1,81.91377134,High,1,0,1.663541744
33.63629602,-108.6567382,391,74.4005692,Hilly,3025.917114,83362,45.36192554,13.14130673,1,60.0460771,39.49071472,Plateau,44.50323755,1,5.909711686,High,0,0,0.801300651
39.71782083,-108.9314088,553,16.74732022,Flat,2890.764706,23847,44.39339937,7.79039419,0,50.30874343,22.59605904,Valley,8.994088734,0,33.03769941,High,1,1,1.24174341
39.62447295,-119.3628647,511,61.95764951,Mountainous,3464.70327,35908,87.08484554,40.12570736,0,45.60458875,12.09396057,Basin,50.16627324,0,50.84779704,Low,0,0,0.79293787
32.51782296,-110.6139401,412,87.19173278,Mountainous,4834.081012,83798,39.34562617,45.24910999,0,49.75964641,-2.624584942,Plateau,35.32392575,0,16.17173836,High,1,1,0.723954752
34.97248506,-101.5075436,833,46.33227676,Hilly,1952.932606,57080,84.02917841,16.05975929,1,37.45831767,17.78197824,Basin,18.57041595,0,42.75307474,Medium,0,0,0.780665236
33.0087831,-112.0481626,270,72.70515621,Flat,2783.117835,98394,83.77344256,43.96938296,0,8.23317265,23.31248289,Plateau,98.48918887,0,26.09661899,High,0,1,2.429050927
32.84840494,-107.5015506,396,82.21894195,Flat,3495.393147,63085,77.08981993,3.696723828,0,77.57239615,8.573320794,Valley,94.01065302,1,17.98496353,Low,0,0,3.783977635
30.36886947,-104.4036265,421,14.46661606,Hilly,2962.11911,72342,3.764239986,34.19047044,1,46.78339114,-6.77044614,Valley,27.87563537,1,45.67193737,Low,0,0,3.14415546
36.09564334,-104.3214944,355,70.87686263,Mountainous,1933.75515,29854,14.79722444,26.84716728,0,82.4954356,29.92049293,Valley,42.78195658,1,49.1077835,High,1,0,4.969206893
